"Date","Samsung","Nokia","Unknown","Xiaomi","Micromax","Oppo","Lenovo","Mobicel","Motorola","Apple","Sony","BBK","HTC","Huawei","Realme","Vivo","Asus","Gionee","OnePlus","LG","Lava","Lyf","Spice","Google","Coolpad","Panasonic","LeEco","Reliance Digital","Tecno","Itel","RIM","Intex","Alcatel","Infinix","InFocus","Karbonn","Yu","Xolo","ZTE","Comio","Mobiistar","HP","Opp","Infinex","QMobile","Meizu","Other"
2014-05,32.2,33.64,17.33,0,8.2,0,0.53,0,0.24,1.23,2.58,0,0.96,0.13,0,0,0,0,0,0.77,0,0,1.23,0.19,0.02,0,0,0,0,0,0.32,0,0.33,0,0,0,0,0,0.06,0,0,0.01,0,0,0,0,0.05
2014-06,32.48,31.29,18.17,0,8.93,0.01,0.59,0,0.3,1.29,2.72,0,1.04,0.14,0,0,0,0,0,0.77,0,0,1.25,0.22,0.02,0,0,0,0,0,0.35,0,0.34,0,0,0,0,0,0.07,0,0,0.01,0,0,0,0,0.05
2014-07,32.56,30.3,18.13,0,9.29,0.01,0.58,0,0.58,1.27,2.84,0,1.05,0.14,0,0,0.01,0,0,0.75,0.16,0,1.25,0.22,0.02,0,0,0,0,0,0.36,0,0.33,0,0,0,0,0,0.07,0,0,0.01,0,0,0,0,0.05
2014-08,32.95,28.5,18.28,0.03,9.82,0.02,0.58,0,0.87,1.31,3,0,1.11,0.15,0,0,0.05,0,0,0.75,0.16,0,1.33,0.24,0.02,0,0,0,0,0,0.37,0,0.33,0,0,0,0,0,0.07,0,0,0.02,0,0,0,0,0.05
2014-09,32.87,28.57,17.11,0.07,10.46,0.03,0.62,0,1.05,1.27,3.13,0,1.18,0.16,0,0,0.08,0,0,0.76,0.16,0,1.38,0.25,0.02,0,0,0,0,0,0.36,0,0.33,0,0,0,0,0,0.07,0,0,0.02,0,0,0,0,0.05
2014-10,31.83,27.96,17.79,0.22,10.94,0.03,0.66,0,1.36,1.23,3.07,0,1.24,0.16,0,0,0.11,0,0,0.77,0.18,0,1.38,0.25,0.03,0,0,0,0,0,0.34,0,0.32,0,0,0,0,0,0.07,0,0,0.03,0,0,0,0,0.05
2014-11,31.6,26.14,18.57,0.38,11.44,0.05,0.68,0,1.56,1.29,3.17,0,1.32,0.19,0,0,0.17,0,0,0.76,0.19,0,1.41,0.25,0.03,0,0,0,0,0,0.34,0,0.31,0,0,0,0,0,0.06,0,0,0.03,0,0,0,0,0.06
2014-12,30.58,27.35,18.2,0.51,11.08,0.06,0.69,0,1.61,1.35,3.2,0,1.37,0.22,0,0,0.22,0,0.01,0.74,0.38,0,1.34,0.24,0.03,0,0,0,0,0,0.34,0,0.29,0,0,0,0,0,0.1,0,0,0.04,0,0,0,0,0.06
2015-01,29.9,26.86,18.11,0.65,11.21,0.08,0.73,0,1.76,1.45,3.44,0,1.53,0.27,0,0,0.3,0,0.03,0.73,0.48,0,1.26,0.32,0.03,0,0,0,0,0,0.34,0,0.28,0,0,0,0,0,0.13,0,0,0.04,0,0,0,0,0.06
2015-02,29.67,25.45,18.77,0.76,11.63,0.1,0.81,0,1.77,1.52,3.51,0,1.64,0.3,0,0,0.36,0,0.05,0.73,0.48,0,1.18,0.35,0.02,0,0,0,0,0,0.35,0,0.28,0,0,0,0,0,0.17,0,0,0.05,0,0,0,0,0.06
2015-03,29.6,23.23,19.79,0.84,12.25,0.12,0.93,0,1.86,1.55,3.6,0,1.78,0.32,0,0,0.42,0,0.07,0.74,0.5,0,1.13,0.38,0.02,0,0,0,0,0,0.33,0,0.27,0,0,0,0,0,0.15,0,0,0.05,0,0,0,0,0.06
2015-04,28.88,22.84,20.39,0.85,12.28,0.14,1.07,0,1.99,1.58,3.59,0,1.88,0.34,0,0,0.47,0,0.09,0.73,0.48,0,1.07,0.5,0.02,0,0,0,0,0,0.31,0,0.26,0,0,0,0,0,0.13,0,0,0.05,0,0,0,0,0.06
2015-05,28.5,22.32,20.71,0.87,12.55,0.14,1.26,0,2.06,1.58,3.54,0.01,1.98,0.36,0,0,0.49,0,0.1,0.71,0.45,0,1.01,0.55,0.02,0,0,0,0,0,0.29,0,0.24,0,0.01,0,0,0,0.12,0,0,0.06,0,0,0,0,0.05
2015-06,27.96,21.37,21.57,0.87,12.87,0.14,1.46,0,2.08,1.62,3.49,0.03,2.02,0.37,0,0,0.5,0,0.11,0.7,0.42,0,0.99,0.6,0.02,0,0,0,0,0,0.29,0,0.23,0,0.02,0,0,0,0.14,0,0,0.06,0,0,0,0,0.05
2015-07,27.06,20.86,21.71,0.92,12.76,0.14,1.73,0,2.08,1.74,3.36,0.05,2.03,0.38,0,0,0.48,0,0.12,0.68,0.38,0,0.94,1.75,0.04,0,0,0,0,0,0.29,0,0.21,0,0.02,0,0,0,0.15,0,0,0.06,0,0,0,0,0.05
2015-08,27.37,19.16,22.43,1.01,12.98,0.15,2.09,0,2.14,1.71,3.27,0.07,2.08,0.42,0,0,0.54,0,0.12,0.68,0.36,0,0.9,1.75,0.05,0,0,0,0,0,0.27,0,0.2,0,0.02,0,0,0,0.14,0,0,0.06,0,0,0,0,0.05
2015-09,27.3,18.31,22.98,1.06,13.14,0.15,2.41,0,2.23,1.54,3.15,0.09,2.12,0.42,0,0,0.57,0.03,0.12,0.66,0.34,0,0.87,1.78,0.07,0,0,0,0,0,0.25,0,0.19,0,0.02,0,0,0,0.11,0,0,0.06,0,0,0,0.01,0.05
2015-10,26.04,18.58,23.71,1.09,13.14,0.14,2.6,0,2.31,1.47,3.04,0.1,2.13,0.43,0,0,0.56,0.09,0.12,0.63,0.32,0,0.84,1.92,0.08,0,0,0,0,0,0.24,0,0.16,0,0.02,0,0,0,0.11,0,0,0.05,0,0,0,0.01,0.05
2015-11,24.84,18.97,24.51,1.14,12.81,0.14,2.82,0,2.35,1.66,2.85,0.11,2.12,0.42,0,0,0.55,0.13,0.13,0.61,0.28,0,0.81,2.08,0.08,0,0,0,0,0,0.23,0,0.15,0,0.02,0,0,0,0.1,0,0,0.05,0,0,0,0.01,0.05
2015-12,24.49,18.08,25.86,1.2,12.88,0.14,3.12,0,2.42,1.81,2.81,0.14,2.2,0.43,0,0,0.56,0.17,0.13,0.6,0.27,0,0.75,1.27,0.08,0,0,0,0,0,0.23,0,0.14,0,0.02,0,0,0,0.1,0,0,0.05,0,0,0,0.02,0.05
2016-01,24.06,17.35,26.84,1.27,12.78,0.15,3.4,0,2.52,1.9,2.79,0.16,2.24,0.45,0,0,0.56,0.19,0.14,0.61,0.26,0,0.71,0.96,0.08,0,0,0,0,0,0.24,0,0.13,0,0.02,0,0,0,0.09,0,0,0.05,0,0,0,0.02,0.04
